col_1,Stage,Sub-Stage,Item,Well Type,Requirement - under either EPA's UIC Class VI or potentially,Adjust Capital Cost to Last Year of Permitting,Capitalize or Expense,Depreciation Category,"Well-Drilling, Monitoring, or Labor (as categorized in model","For Fin. Resp.: Corr. Action, Inject. Well Plug. or Em. & Re",Financial Responsibility Category,Categories for Detailed Cost Breakdown,Cost Component Name,Quantity,Units,Multiplier,Multiplier Units,Cost Component Name,Quantity,Units,Multiplier,Multiplier Units,Cost Component Name,Quantity
208,PISC and Site Closure,3.3 Periodic Reports:,Site closure report,N/A,No,No,Expense,Expense,Other,Not Incl,PISC,Transport vessels,,,,,,,,,,,,
209,PISC and Site Closure,3.3 Periodic Reports:,Site closure report,N/A,"Yes, H.3",No,Expense,Expense,Other,Not Incl,PISC,Reporting-Ops & PISC,,,,,,,,,,,,
210,Operations,3.4 Fluid Samples,Per Monitoring well above seal,Primary Above Seal,"Yes, § 146.87 (b) and  § 146.90",No,Expense,Expense,Monitoring,Not Incl,Not Incl,Samp & Analys-Ab Seal,,,$/Sample,0,Samples/Year,,,$/Sample,0,Samples/Year,,
211,PISC and Site Closure,3.4 Fluid Samples,Per Monitoring well above seal,Primary Above Seal,"Yes, § 146.87 (b) and  § 146.90",No,Expense,Expense,Monitoring,Not Incl,PISC,Samp & Analys-Ab Seal,,,$/Sample,0,Samples/Year,,,$/Sample,0,Samples/Year,,
212,Operations,3.4 Fluid Samples,Per Monitoring well dual completion,Dual Completion,"Yes, § 146.87 (b) and  § 146.90",No,Expense,Expense,Monitoring,Not Incl,Not Incl,Samp & Analys-Dual Comp,,,$/Sample,8,Samples/Year,,,$/Sample,8,Samples/Year,,
213,PISC and Site Closure,3.4 Fluid Samples,Per Monitoring well dual completion,Dual Completion,"Yes, § 146.87 (b) and  § 146.90",No,Expense,Expense,Monitoring,Not Incl,PISC,Samp & Analys-Dual Comp,,,$/Sample,8,Samples/Year,,,$/Sample,8,Samples/Year,,
214,Operations,3.4 Fluid Samples,Per Monitoring well above seal,Paired Above Seal (uses In Res sched. for dual horiz. samp.),"Yes, § 146.87 (b) and  § 146.90",No,Expense,Expense,Monitoring,Not Incl,Not Incl,Samp & Analys-Ab Seal,,,$/Sample,4,Samples/Year,,,$/Sample,4,Samples/Year,,
215,PISC and Site Closure,3.4 Fluid Samples,Per Monitoring well above seal,Paired Above Seal (uses In Res sched. for dual horiz. samp.),"Yes, § 146.87 (b) and  § 146.90",No,Expense,Expense,Monitoring,Not Incl,PISC,Samp & Analys-Ab Seal,,,$/Sample,4,Samples/Year,,,$/Sample,4,Samples/Year,,
216,Operations,3.4 Fluid Samples,Per Monitoring well in reservoir,Paired In Reservoir (Dual Horizon Sampling),"Yes, § 146.87 (b) and  § 146.90",No,Expense,Expense,Monitoring,Not Incl,Not Incl,Samp & Analys-In Res,,,$/Sample,4,Samples/Year,,,$/Sample,4,Samples/Year,,
217,PISC and Site Closure,3.4 Fluid Samples,Per Monitoring well in reservoir,Paired In Reservoir (Dual Horizon Sampling),"Yes, § 146.87 (b) and  § 146.90",No,Expense,Expense,Monitoring,Not Incl,PISC,Samp & Analys-In Res,,,$/Sample,4,Samples/Year,,,$/Sample,4,Samples/Year,,
218,Operations,3.4 Fluid Samples,Per Monitoring well,Secondary Dual Completion,"Yes, § 146.87 (b) and  § 146.90",No,Expense,Expense,Monitoring,Not Incl,Not Incl,Samp & Analys-Dual Comp,,,$/Sample,8,Samples/Year,,,$/Sample,8,Samples/Year,,
219,PISC and Site Closure,3.4 Fluid Samples,Per Monitoring well,Secondary Dual Completion,"Yes, § 146.87 (b) and  § 146.90",No,Expense,Expense,Monitoring,Not Incl,PISC,Samp & Analys-Dual Comp,,,$/Sample,8,Samples/Year,,,$/Sample,8,Samples/Year,,
220,Operations,3.4 Fluid Samples,Per Monitoring well,"Satellite 1, Well 1: In Reservoir","Yes, § 146.87 (b) and  § 146.90",No,Expense,Expense,Monitoring,Not Incl,Not Incl,Samp & Analys-In Res,,,$/Sample,4,Samples/Year,,,$/Sample,4,Samples/Year,,
221,PISC and Site Closure,3.4 Fluid Samples,Per Monitoring well,"Satellite 1, Well 1: In Reservoir","Yes, § 146.87 (b) and  § 146.90",No,Expense,Expense,Monitoring,Not Incl,PISC,Samp & Analys-In Res,,,$/Sample,4,Samples/Year,,,$/Sample,4,Samples/Year,,
222,Operations,3.4 Fluid Samples,Per Monitoring well,"Satellite 1, Well 2: Dual Completion","Yes, § 146.87 (b) and  § 146.90",No,Expense,Expense,Monitoring,Not Incl,Not Incl,Samp & Analys-Dual Comp,,,$/Sample,8,Samples/Year,,,$/Sample,8,Samples/Year,,
223,PISC and Site Closure,3.4 Fluid Samples,Per Monitoring well,"Satellite 1, Well 2: Dual Completion","Yes, § 146.87 (b) and  § 146.90",No,Expense,Expense,Monitoring,Not Incl,PISC,Samp & Analys-Dual Comp,,,$/Sample,8,Samples/Year,,,$/Sample,8,Samples/Year,,
224,Operations,3.4 Fluid Samples,Per Monitoring well,"Satellite 2, Well 1: Dual Completion","Yes, § 146.87 (b) and  § 146.90",No,Expense,Expense,Monitoring,Not Incl,Not Incl,Samp & Analys-Dual Comp,,,$/Sample,8,Samples/Year,,,$/Sample,8,Samples/Year,,
225,PISC and Site Closure,3.4 Fluid Samples,Per Monitoring well,"Satellite 2, Well 1: Dual Completion","Yes, § 146.87 (b) and  § 146.90",No,Expense,Expense,Monitoring,Not Incl,PISC,Samp & Analys-Dual Comp,,,$/Sample,8,Samples/Year,,,$/Sample,8,Samples/Year,,
226,Operations,3.4 Fluid Samples,Per Monitoring well,"Satellite 2, Well 2: Dual Completion","Yes, § 146.87 (b) and  § 146.90",No,Expense,Expense,Monitoring,Not Incl,Not Incl,Samp & Analys-Dual Comp,,,$/Sample,8,Samples/Year,,,$/Sample,8,Samples/Year,,
227,PISC and Site Closure,3.4 Fluid Samples,Per Monitoring well,"Satellite 2, Well 2: Dual Completion","Yes, § 146.87 (b) and  § 146.90",No,Expense,Expense,Monitoring,Not Incl,PISC,Samp & Analys-Dual Comp,,,$/Sample,8,Samples/Year,,,$/Sample,8,Samples/Year,,
228,Operations,3.4 Fluid Samples,Per Monitoring well,"Satellite 3, Well 1: Above Seal","Yes, § 146.87 (b) and  § 146.90",No,Expense,Expense,Monitoring,Not Incl,Not Incl,Samp & Analys-Ab Seal,,,$/Sample,4,Samples/Year,,,$/Sample,4,Samples/Year,,
229,PISC and Site Closure,3.4 Fluid Samples,Per Monitoring well,"Satellite 3, Well 1: Above Seal","Yes, § 146.87 (b) and  § 146.90",No,Expense,Expense,Monitoring,Not Incl,PISC,Samp & Analys-Ab Seal,,,$/Sample,4,Samples/Year,,,$/Sample,4,Samples/Year,,
230,Operations,3.4 Fluid Samples,Per Monitoring well,"Satellite 3, Well 2: In Reservoir","Yes, § 146.87 (b) and  § 146.90",No,Expense,Expense,Monitoring,Not Incl,Not Incl,Samp & Analys-In Res,,,$/Sample,4,Samples/Year,,,$/Sample,4,Samples/Year,,
231,PISC and Site Closure,3.4 Fluid Samples,Per Monitoring well,"Satellite 3, Well 2: In Reservoir","Yes, § 146.87 (b) and  § 146.90",No,Expense,Expense,Monitoring,Not Incl,PISC,Samp & Analys-In Res,,,$/Sample,4,Samples/Year,,,$/Sample,4,Samples/Year,,
232,Operations,3.4 Fluid Samples,Per Monitoring well,"Satellite 4, Well 1: In Reservoir","Yes, § 146.87 (b) and  § 146.90",No,Expense,Expense,Monitoring,Not Incl,Not Incl,Samp & Analys-In Res,,,$/Sample,4,Samples/Year,,,$/Sample,4,Samples/Year,,
233,PISC and Site Closure,3.4 Fluid Samples,Per Monitoring well,"Satellite 4, Well 1: In Reservoir","Yes, § 146.87 (b) and  § 146.90",No,Expense,Expense,Monitoring,Not Incl,PISC,Samp & Analys-In Res,,,$/Sample,4,Samples/Year,,,$/Sample,4,Samples/Year,,
234,Operations,3.4 Fluid Samples,Per Monitoring well,"Satellite 4, Well 2: In Reservoir","Yes, § 146.87 (b) and  § 146.90",No,Expense,Expense,Monitoring,Not Incl,Not Incl,Samp & Analys-In Res,,,$/Sample,4,Samples/Year,,,$/Sample,4,Samples/Year,,
235,PISC and Site Closure,3.4 Fluid Samples,Per Monitoring well,"Satellite 4, Well 2: In Reservoir","Yes, § 146.87 (b) and  § 146.90",No,Expense,Expense,Monitoring,Not Incl,PISC,Samp & Analys-In Res,,,$/Sample,4,Samples/Year,,,$/Sample,4,Samples/Year,,
236,Operations,3.4 Fluid Samples,Collect Pressure Data from deep monitoring wells - ops,Primary Above Seal,?,No,Expense,Expense,Monitoring,Not Incl,Not Incl,Samp & Analys-Ab Seal,,,$/Sample,1,Samples/Year,,,$/Sample,1,Samples/Year,,
237,PISC and Site Closure,3.4 Fluid Samples,Collect Pressure Data from deep monitoring wells - pisc,Primary Above Seal,?,No,Expense,Expense,Monitoring,Not Incl,PISC,Samp & Analys-Ab Seal,,,$/Sample,1,Samples/Year,,,$/Sample,1,Samples/Year,,
238,Operations,3.4 Fluid Samples,Collect Pressure Data from deep monitoring wells - ops,Dual Completion,?,No,Expense,Expense,Monitoring,Not Incl,Not Incl,Samp & Analys-Dual Comp,,,$/Sample,1,Samples/Year,,,$/Sample,1,Samples/Year,,
239,PISC and Site Closure,3.4 Fluid Samples,Collect Pressure Data from deep monitoring wells - pisc,Dual Completion,?,No,Expense,Expense,Monitoring,Not Incl,PISC,Samp & Analys-Dual Comp,,,$/Sample,1,Samples/Year,,,$/Sample,1,Samples/Year,,
240,Operations,3.4 Fluid Samples,Collect Pressure Data from deep monitoring wells - ops,Paired Above Seal (uses In Res sched. for dual horiz. samp.),?,No,Expense,Expense,Monitoring,Not Incl,Not Incl,Samp & Analys-Ab Seal,,,$/Sample,1,Samples/Year,,,$/Sample,1,Samples/Year,,
241,PISC and Site Closure,3.4 Fluid Samples,Collect Pressure Data from deep monitoring wells - pisc,Paired Above Seal (uses In Res sched. for dual horiz. samp.),?,No,Expense,Expense,Monitoring,Not Incl,PISC,Samp & Analys-Ab Seal,,,$/Sample,1,Samples/Year,,,$/Sample,1,Samples/Year,,
242,Operations,3.4 Fluid Samples,Collect Pressure Data from deep monitoring wells - ops,Paired In Reservoir (Dual Horizon Sampling),?,No,Expense,Expense,Monitoring,Not Incl,Not Incl,Samp & Analys-In Res,,,$/Sample,1,Samples/Year,,,$/Sample,1,Samples/Year,,
243,PISC and Site Closure,3.4 Fluid Samples,Collect Pressure Data from deep monitoring wells - pisc,Paired In Reservoir (Dual Horizon Sampling),?,No,Expense,Expense,Monitoring,Not Incl,PISC,Samp & Analys-In Res,,,$/Sample,1,Samples/Year,,,$/Sample,1,Samples/Year,,
244,Operations,3.4 Fluid Samples,Collect Pressure Data from deep monitoring wells - ops,Secondary Dual Completion,?,No,Expense,Expense,Monitoring,Not Incl,Not Incl,Samp & Analys-Dual Comp,,,$/Sample,1,Samples/Year,,,$/Sample,1,Samples/Year,,
245,PISC and Site Closure,3.4 Fluid Samples,Collect Pressure Data from deep monitoring wells - pisc,Secondary Dual Completion,?,No,Expense,Expense,Monitoring,Not Incl,PISC,Samp & Analys-Dual Comp,,,$/Sample,1,Samples/Year,,,$/Sample,1,Samples/Year,,
246,Operations,3.4 Fluid Samples,Collect Pressure Data from deep monitoring wells - ops,"Satellite 1, Well 1: In Reservoir",?,No,Expense,Expense,Monitoring,Not Incl,Not Incl,Samp & Analys-In Res,,,$/Sample,1,Samples/Year,,,$/Sample,1,Samples/Year,,
247,PISC and Site Closure,3.4 Fluid Samples,Collect Pressure Data from deep monitoring wells - pisc,"Satellite 1, Well 1: In Reservoir",?,No,Expense,Expense,Monitoring,Not Incl,PISC,Samp & Analys-In Res,,,$/Sample,1,Samples/Year,,,$/Sample,1,Samples/Year,,
248,Operations,3.4 Fluid Samples,Collect Pressure Data from deep monitoring wells - ops,"Satellite 1, Well 2: Dual Completion",?,No,Expense,Expense,Monitoring,Not Incl,Not Incl,Samp & Analys-Dual Comp,,,$/Sample,1,Samples/Year,,,$/Sample,1,Samples/Year,,
249,PISC and Site Closure,3.4 Fluid Samples,Collect Pressure Data from deep monitoring wells - pisc,"Satellite 1, Well 2: Dual Completion",?,No,Expense,Expense,Monitoring,Not Incl,PISC,Samp & Analys-Dual Comp,,,$/Sample,1,Samples/Year,,,$/Sample,1,Samples/Year,,
250,Operations,3.4 Fluid Samples,Collect Pressure Data from deep monitoring wells - ops,"Satellite 2, Well 1: Dual Completion",?,No,Expense,Expense,Monitoring,Not Incl,Not Incl,Samp & Analys-Dual Comp,,,$/Sample,1,Samples/Year,,,$/Sample,1,Samples/Year,,
251,PISC and Site Closure,3.4 Fluid Samples,Collect Pressure Data from deep monitoring wells - pisc,"Satellite 2, Well 1: Dual Completion",?,No,Expense,Expense,Monitoring,Not Incl,PISC,Samp & Analys-Dual Comp,,,$/Sample,1,Samples/Year,,,$/Sample,1,Samples/Year,,
252,Operations,3.4 Fluid Samples,Collect Pressure Data from deep monitoring wells - ops,"Satellite 2, Well 2: Dual Completion",?,No,Expense,Expense,Monitoring,Not Incl,Not Incl,Samp & Analys-Dual Comp,,,$/Sample,1,Samples/Year,,,$/Sample,1,Samples/Year,,
253,PISC and Site Closure,3.4 Fluid Samples,Collect Pressure Data from deep monitoring wells - pisc,"Satellite 2, Well 2: Dual Completion",?,No,Expense,Expense,Monitoring,Not Incl,PISC,Samp & Analys-Dual Comp,,,$/Sample,1,Samples/Year,,,$/Sample,1,Samples/Year,,
254,Operations,3.4 Fluid Samples,Collect Pressure Data from deep monitoring wells - ops,"Satellite 3, Well 1: Above Seal",?,No,Expense,Expense,Monitoring,Not Incl,Not Incl,Samp & Analys-Ab Seal,,,$/Sample,1,Samples/Year,,,$/Sample,1,Samples/Year,,
255,PISC and Site Closure,3.4 Fluid Samples,Collect Pressure Data from deep monitoring wells - pisc,"Satellite 3, Well 1: Above Seal",?,No,Expense,Expense,Monitoring,Not Incl,PISC,Samp & Analys-Ab Seal,,,$/Sample,1,Samples/Year,,,$/Sample,1,Samples/Year,,
256,Operations,3.4 Fluid Samples,Collect Pressure Data from deep monitoring wells - ops,"Satellite 3, Well 2: In Reservoir",?,No,Expense,Expense,Monitoring,Not Incl,Not Incl,Samp & Analys-In Res,,,$/Sample,1,Samples/Year,,,$/Sample,1,Samples/Year,,
257,PISC and Site Closure,3.4 Fluid Samples,Collect Pressure Data from deep monitoring wells - pisc,"Satellite 3, Well 2: In Reservoir",?,No,Expense,Expense,Monitoring,Not Incl,PISC,Samp & Analys-In Res,,,$/Sample,1,Samples/Year,,,$/Sample,1,Samples/Year,,
258,Operations,3.4 Fluid Samples,Collect Pressure Data from deep monitoring wells - ops,"Satellite 4, Well 1: In Reservoir",?,No,Expense,Expense,Monitoring,Not Incl,Not Incl,Samp & Analys-In Res,,,$/Sample,1,Samples/Year,,,$/Sample,1,Samples/Year,,
259,PISC and Site Closure,3.4 Fluid Samples,Collect Pressure Data from deep monitoring wells - pisc,"Satellite 4, Well 1: In Reservoir",?,No,Expense,Expense,Monitoring,Not Incl,PISC,Samp & Analys-In Res,,,$/Sample,1,Samples/Year,,,$/Sample,1,Samples/Year,,
260,Operations,3.4 Fluid Samples,Collect Pressure Data from deep monitoring wells - ops,"Satellite 4, Well 2: In Reservoir",?,No,Expense,Expense,Monitoring,Not Incl,Not Incl,Samp & Analys-In Res,,,$/Sample,1,Samples/Year,,,$/Sample,1,Samples/Year,,
261,PISC and Site Closure,3.4 Fluid Samples,Collect Pressure Data from deep monitoring wells - pisc,"Satellite 4, Well 2: In Reservoir",?,No,Expense,Expense,Monitoring,Not Incl,PISC,Samp & Analys-In Res,,,$/Sample,1,Samples/Year,,,$/Sample,1,Samples/Year,,
262,Operations,3.4 Fluid Samples,Tracer (Isotope) survey (Cost per Injection Well),Injection,"Some, § 146.87 (a)",No,Expense,Expense,Monitoring,Not Incl,Not Incl,Well MIT-Inject,Tracer (Isotope)Survey well cost,0,$/Sample,0,Samples/Year,Tracer (Isotope)Survey well cost,0,$/Sample,0,Samples/Year,Tracer (Isotope)Survey well cost,0
263,Site Selection & Site Characterization,3.5 Subsea Imaging,Seabed and water column imaging (ROV),N/A,No,No,Expense,Expense,Monitoring,Not Incl,Not Incl,Subsea Monitoring,,,$/day,0,days,,,$/day,0,days,,
264,Permitting & Site Construction,3.5 Subsea Imaging,Seabed and water column imaging (ROV),N/A,No,No,Expense,Expense,Monitoring,Not Incl,Not Incl,Subsea Monitoring,,,$/day,0,days,,,$/day,0,days,,
265,Operations,3.5 Subsea Imaging,Seabed and water column imaging (ROV),N/A,No,No,Expense,Expense,Monitoring,Not Incl,Not Incl,Subsea Monitoring,,,$/day,0,days,,,$/day,0,days,,
266,PISC and Site Closure,3.5 Subsea Imaging,Seabed and water column imaging (ROV),N/A,No,No,Expense,Expense,Monitoring,Not Incl,PISC,Subsea Monitoring,,,$/day,0,days,,,$/day,0,days,,
267,Site Selection & Site Characterization,3.5 Subsea Imaging,Seabed and water column imaging (ROV),N/A,No,No,Expense,Expense,Monitoring,Not Incl,Not Incl,Transport vessels,,,,,,,,,,,,
268,Permitting & Site Construction,3.5 Subsea Imaging,Seabed and water column imaging (ROV),N/A,No,No,Expense,Expense,Monitoring,Not Incl,Not Incl,Transport vessels,,,,,,,,,,,,
269,Operations,3.5 Subsea Imaging,Seabed and water column imaging (ROV),N/A,No,No,Expense,Expense,Monitoring,Not Incl,Not Incl,Transport vessels,,,,,,,,,,,,
270,PISC and Site Closure,3.5 Subsea Imaging,Seabed and water column imaging (ROV),N/A,No,No,Expense,Expense,Monitoring,Not Incl,PISC,Transport vessels,,,,,,,,,,,,
271,PISC and Site Closure,3.5 Subsea Imaging,Site clearance verification,N/A,"Yes, 30 CFR 250.1703",No,Expense,Expense,Monitoring,Not Incl,PISC,Subsea Monitoring,,,,,,,,,,,,
272,Site Selection & Site Characterization,3.6 Seabed Samples,Geomechanical Water Column Sampling,N/A,"Yes, 30 CFR 582.28",No,Expense,Expense,Monitoring,Not Incl,Not Incl,Subsea Monitoring,,,$/Sample,8,Samples/Year,,,$/Sample,8,Samples/Year,,
273,Permitting & Site Construction,3.6 Seabed Samples,Geomechanical Water Column Sampling,N/A,"Yes, 30 CFR 582.28",No,Expense,Expense,Monitoring,Not Incl,Not Incl,Subsea Monitoring,,,$/Sample,8,Samples/Year,,,$/Sample,8,Samples/Year,,
274,Operations,3.6 Seabed Samples,Geomechanical Water Column Sampling,N/A,"Yes, 30 CFR 582.28",No,Expense,Expense,Monitoring,Not Incl,Not Incl,Subsea Monitoring,,,$/Sample,8,Samples/Year,,,$/Sample,8,Samples/Year,,
275,PISC and Site Closure,3.6 Seabed Samples,Geomechanical Water Column Sampling,N/A,"Yes, 30 CFR 582.28",No,Expense,Expense,Monitoring,Not Incl,PISC,Subsea Monitoring,,,$/Sample,8,Samples/Year,,,$/Sample,8,Samples/Year,,
276,Site Selection & Site Characterization,3.6 Seabed Samples,Geomechanical Water Column Sampling,N/A,No,No,Expense,Expense,Monitoring,Not Incl,Not Incl,Transport vessels,,,,,,,,,,,,
277,Permitting & Site Construction,3.6 Seabed Samples,Geomechanical Water Column Sampling,N/A,No,No,Expense,Expense,Monitoring,Not Incl,Not Incl,Transport vessels,,,,,,,,,,,,
278,Operations,3.6 Seabed Samples,Geomechanical Water Column Sampling,N/A,No,No,Expense,Expense,Monitoring,Not Incl,Not Incl,Transport vessels,,,,,,,,,,,,
279,PISC and Site Closure,3.6 Seabed Samples,Geomechanical Water Column Sampling,N/A,No,No,Expense,Expense,Monitoring,Not Incl,PISC,Transport vessels,,,,,,,,,,,,
280,Site Selection & Site Characterization,3.6 Seabed Samples,Sediment Sampling,N/A,"Yes, 30 CFR 582.28",No,Expense,Expense,Monitoring,Not Incl,Not Incl,Subsea Monitoring,,,$/Sample,8,Samples/Year,,,$/Sample,8,Samples/Year,,
281,Permitting & Site Construction,3.6 Seabed Samples,Sediment Sampling,N/A,"Yes, 30 CFR 582.28",No,Expense,Expense,Monitoring,Not Incl,Not Incl,Subsea Monitoring,,,$/Sample,8,Samples/Year,,,$/Sample,8,Samples/Year,,
282,Operations,3.6 Seabed Samples,Sediment Sampling,N/A,"Yes, 30 CFR 582.28",No,Expense,Expense,Monitoring,Not Incl,Not Incl,Subsea Monitoring,,,$/Sample,8,Samples/Year,,,$/Sample,8,Samples/Year,,
283,PISC and Site Closure,3.6 Seabed Samples,Sediment Sampling,N/A,"Yes, 30 CFR 582.28",No,Expense,Expense,Monitoring,Not Incl,PISC,Subsea Monitoring,,,$/Sample,8,Samples/Year,,,$/Sample,8,Samples/Year,,
284,Site Selection & Site Characterization,3.6 Seabed Samples,Sediment Sampling,N/A,No,No,Expense,Expense,Monitoring,Not Incl,Not Incl,Transport vessels,,,,,,,,,,,,
285,Permitting & Site Construction,3.6 Seabed Samples,Sediment Sampling,N/A,No,No,Expense,Expense,Monitoring,Not Incl,Not Incl,Transport vessels,,,,,,,,,,,,
286,Operations,3.6 Seabed Samples,Sediment Sampling,N/A,No,No,Expense,Expense,Monitoring,Not Incl,Not Incl,Transport vessels,,,,,,,,,,,,
287,PISC and Site Closure,3.6 Seabed Samples,Sediment Sampling,N/A,No,No,Expense,Expense,Monitoring,Not Incl,PISC,Transport vessels,,,,,,,,,,,,
288,Site Selection & Site Characterization,3.6 Seabed Samples,Ecosystem Response Monitoring,N/A,No,No,Expense,Expense,Monitoring,Not Incl,Not Incl,Subsea Monitoring,,,$/Sample,8,Samples/Year,,,$/Sample,8,Samples/Year,,
289,Permitting & Site Construction,3.6 Seabed Samples,Ecosystem Response Monitoring,N/A,No,No,Expense,Expense,Monitoring,Not Incl,Not Incl,Subsea Monitoring,,,$/Sample,8,Samples/Year,,,$/Sample,8,Samples/Year,,
290,Operations,3.6 Seabed Samples,Ecosystem Response Monitoring,N/A,No,No,Expense,Expense,Monitoring,Not Incl,Not Incl,Subsea Monitoring,,,$/Sample,8,Samples/Year,,,$/Sample,8,Samples/Year,,
291,PISC and Site Closure,3.6 Seabed Samples,Ecosystem Response Monitoring,N/A,No,No,Expense,Expense,Monitoring,Not Incl,PISC,Subsea Monitoring,,,$/Sample,8,Samples/Year,,,$/Sample,8,Samples/Year,,
292,Site Selection & Site Characterization,3.6 Seabed Samples,Ecosystem Response Monitoring,N/A,No,No,Expense,Expense,Monitoring,Not Incl,Not Incl,Transport vessels,,,,,,,,,,,,
293,Permitting & Site Construction,3.6 Seabed Samples,Ecosystem Response Monitoring,N/A,No,No,Expense,Expense,Monitoring,Not Incl,Not Incl,Transport vessels,,,,,,,,,,,,
294,Operations,3.6 Seabed Samples,Ecosystem Response Monitoring,N/A,No,No,Expense,Expense,Monitoring,Not Incl,Not Incl,Transport vessels,,,,,,,,,,,,
295,PISC and Site Closure,3.6 Seabed Samples,Ecosystem Response Monitoring,N/A,No,No,Expense,Expense,Monitoring,Not Incl,PISC,Transport vessels,,,,,,,,,,,,
296,Site Selection & Site Characterization,3.6 Seabed Samples,Subsea lander deployment (continuous subsea monitoring),N/A,"Yes, 30 CFR 582.28",No,Expense,Expense,Monitoring,Not Incl,Not Incl,Subsea Monitoring,,,,,,,,,,,,
297,Permitting & Site Construction,3.6 Seabed Samples,Subsea lander deployment (continuous subsea monitoring),N/A,"Yes, 30 CFR 582.28",No,Expense,Expense,Monitoring,Not Incl,Not Incl,Subsea Monitoring,,,,,,,,,,,,
298,Operations,3.6 Seabed Samples,Subsea lander deployment (continuous subsea monitoring),N/A,"Yes, 30 CFR 582.28",No,Expense,Expense,Monitoring,Not Incl,Not Incl,Subsea Monitoring,,,,,,,,,,,,
299,PISC and Site Closure,3.6 Seabed Samples,Subsea lander deployment (continuous subsea monitoring),N/A,"Yes, 30 CFR 582.28",No,Expense,Expense,Monitoring,Not Incl,PISC,Subsea Monitoring,,,,,,,,,,,,
300,Site Selection & Site Characterization,3.6 Seabed Samples,Subsea lander deployment (continuous subsea monitoring),N/A,No,No,Expense,Expense,Monitoring,Not Incl,Not Incl,Transport vessels,,,,,,,,,,,,
301,Permitting & Site Construction,3.6 Seabed Samples,Subsea lander deployment (continuous subsea monitoring),N/A,No,No,Expense,Expense,Monitoring,Not Incl,Not Incl,Transport vessels,,,,,,,,,,,,
302,Operations,3.6 Seabed Samples,Subsea lander deployment (continuous subsea monitoring),N/A,No,No,Expense,Expense,Monitoring,Not Incl,Not Incl,Transport vessels,,,,,,,,,,,,
303,PISC and Site Closure,3.6 Seabed Samples,Subsea lander deployment (continuous subsea monitoring),N/A,No,No,Expense,Expense,Monitoring,Not Incl,PISC,Transport vessels,,,,,,,,,,,,
304,Site Selection & Site Characterization,3.7 Geophysical Survey: Surface Seismic: 3D:,3-D Seismic,N/A,"Either/Or, § 146.90(2)",Yes,Capital,Seismic,Monitoring,Not Incl,Not Incl,3-D Seismic,,,,,,,,,,,,
305,Permitting & Site Construction,3.7 Geophysical Survey: Surface Seismic: 3D:,3-D Seismic,N/A,"Either/Or, § 146.90(2)",Yes,Capital,Seismic,Monitoring,Not Incl,Not Incl,3-D Seismic,,,,,,,,,,,,
306,Operations,3.7 Geophysical Survey: Surface Seismic: 3D:,3-D Seismic,N/A,"Either/Or, § 146.90(2)",Yes,Capital,Seismic,Monitoring,Not Incl,Not Incl,3-D Seismic,,,,,,,,,,,,
307,PISC and Site Closure,3.7 Geophysical Survey: Surface Seismic: 3D:,3-D Seismic,N/A,"Either/Or, § 146.90(2)",Yes,Capital,Seismic,Monitoring,Not Incl,PISC,3-D Seismic,,,,,,,,,,,,
308,Site Selection & Site Characterization,3.7 Geophysical Survey: Surface Seismic: 3D:,3-D Seismic Vessel,N/A,"Either/Or, § 146.90(2)",No,Capital,Seismic,Monitoring,Not Incl,Not Incl,Transport vessels,,,,,,,,,,,,
309,Permitting & Site Construction,3.7 Geophysical Survey: Surface Seismic: 3D:,3-D Seismic Vessel,N/A,"Either/Or, § 146.90(2)",No,Capital,Seismic,Monitoring,Not Incl,Not Incl,Transport vessels,,,,,,,,,,,,
310,Operations,3.7 Geophysical Survey: Surface Seismic: 3D:,3-D Seismic Vessel,N/A,"Either/Or, § 146.90(2)",No,Capital,Seismic,Monitoring,Not Incl,Not Incl,Transport vessels,,,,,,,,,,,,
311,PISC and Site Closure,3.7 Geophysical Survey: Surface Seismic: 3D:,3-D Seismic Vessel,N/A,"Either/Or, § 146.90(2)",No,Capital,Seismic,Monitoring,Not Incl,PISC,Transport vessels,,,,,,,,,,,,
312,Site Selection & Site Characterization,3.8 Geophysical Survey: Surface Seismic: 2D:,2-D Seismic,N/A,"Either/Or, § 146.90(2)",Yes,Capital,Seismic,Monitoring,Not Incl,Not Incl,2-D Seismic,,,,,,,,,,,,
313,Permitting & Site Construction,3.8 Geophysical Survey: Surface Seismic: 2D:,2-D Seismic,N/A,"Either/Or, § 146.90(2)",Yes,Capital,Seismic,Monitoring,Not Incl,Not Incl,2-D Seismic,,,,,,,,,,,,
314,Operations,3.8 Geophysical Survey: Surface Seismic: 2D:,2-D Seismic,N/A,"Either/Or, § 146.90(2)",Yes,Capital,Seismic,Monitoring,Not Incl,Not Incl,2-D Seismic,,,,,,,,,,,,
315,PISC and Site Closure,3.8 Geophysical Survey: Surface Seismic: 2D:,2-D Seismic,N/A,"Either/Or, § 146.90(2)",Yes,Capital,Seismic,Monitoring,Not Incl,PISC,2-D Seismic,,,,,,,,,,,,
316,Site Selection & Site Characterization,3.8 Geophysical Survey: Surface Seismic: 2D:,2-D Seismic Vessel,N/A,"Either/Or, § 146.90(2)",No,Capital,Seismic,Monitoring,Not Incl,Not Incl,Transport vessels,,,,,,,,,,,,
